"filename", "language", "Dart", "JSON", "XML", "comment", "blank", "total"
"/Users/xusun/Desktop/Flutter/offershow/lib/asset/autoQuestion.dart", "Dart", 90, 0, 0, 15, 7, 112
"/Users/xusun/Desktop/Flutter/offershow/lib/asset/modal.dart", "Dart", -2, 0, 0, 0, 0, -2
"/Users/xusun/Desktop/Flutter/offershow/lib/asset/processUrl.dart", "Dart", 24, 0, 0, 2, 3, 29
"/Users/xusun/Desktop/Flutter/offershow/lib/asset/recognization.dart", "Dart", 4, 0, 0, 5, 2, 11
"/Users/xusun/Desktop/Flutter/offershow/lib/asset/saveImg.dart", "Dart", -13, 0, 0, 0, 0, -13
"/Users/xusun/Desktop/Flutter/offershow/lib/asset/showActionSheet.dart", "Dart", 113, 0, 0, 1, 2, 116
"/Users/xusun/Desktop/Flutter/offershow/lib/asset/showPop.dart", "Dart", 127, 0, 0, 0, 5, 132
"/Users/xusun/Desktop/Flutter/offershow/lib/components/banner.dart", "Dart", -1, 0, 0, 1, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/components/leftNavi.dart", "Dart", 12, 0, 0, 0, 0, 12
"/Users/xusun/Desktop/Flutter/offershow/lib/components/loading.dart", "Dart", 32, 0, 0, 0, 0, 32
"/Users/xusun/Desktop/Flutter/offershow/lib/components/topic.dart", "Dart", 45, 0, 0, 2, 2, 49
"/Users/xusun/Desktop/Flutter/offershow/lib/components/topic_reply.dart", "Dart", -29, 0, 0, 0, 0, -29
"/Users/xusun/Desktop/Flutter/offershow/lib/define_btn/json.json", "JSON", 0, 10, 0, 0, 1, 11
"/Users/xusun/Desktop/Flutter/offershow/lib/img/topic_capture.svg", "XML", 0, 0, 3, 0, 1, 4
"/Users/xusun/Desktop/Flutter/offershow/lib/page/PicSquare/pic_square.dart", "Dart", -3, 0, 0, 2, 0, -1
"/Users/xusun/Desktop/Flutter/offershow/lib/page/about/about.dart", "Dart", 4, 0, 0, 1, 0, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/page/account/account.dart", "Dart", 4, 0, 0, 1, 0, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/page/blacklist/black_list.dart", "Dart", -28, 0, 0, 1, 0, -27
"/Users/xusun/Desktop/Flutter/offershow/lib/page/collection_detail/collection_detail.dart", "Dart", -1, 0, 0, 1, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/collection_tab/collection_tab.dart", "Dart", -1, 0, 0, 1, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/column/column.dart", "Dart", -2, 0, 0, 2, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/crop/crop.dart", "Dart", -1, 0, 0, 1, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/essence/essence.dart", "Dart", -1, 0, 0, 1, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/explore/explore.dart", "Dart", -1, 0, 0, 1, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/home.dart", "Dart", 35, 0, 0, -1, 6, 40
"/Users/xusun/Desktop/Flutter/offershow/lib/page/home/homeNew.dart", "Dart", 137, 0, 0, 1, 4, 142
"/Users/xusun/Desktop/Flutter/offershow/lib/page/hot/homeHot.dart", "Dart", -1, 0, 0, 1, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/hot/homeHotNoScaffold.dart", "Dart", -1, 0, 0, 1, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/login/login.dart", "Dart", -2, 0, 0, 2, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/login/login_helper.dart", "Dart", -1, 0, 0, 1, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/me/me.dart", "Dart", -1, 0, 0, 1, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/me_func/me_func.dart", "Dart", 5, 0, 0, 1, 0, 6
"/Users/xusun/Desktop/Flutter/offershow/lib/page/msg/msg.dart", "Dart", -2, 0, 0, 1, 0, -1
"/Users/xusun/Desktop/Flutter/offershow/lib/page/msg_detail/msg_detail.dart", "Dart", -7, 0, 0, -8, 0, -15
"/Users/xusun/Desktop/Flutter/offershow/lib/page/msg_three/msg_three.dart", "Dart", -1, 0, 0, 1, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/new/format.dart", "Dart", 34, 0, 0, 0, 3, 37
"/Users/xusun/Desktop/Flutter/offershow/lib/page/new/left_row_btn.dart", "Dart", -9, 0, 0, 0, 0, -9
"/Users/xusun/Desktop/Flutter/offershow/lib/page/new/new.dart", "Dart", 97, 0, 0, 6, 5, 108
"/Users/xusun/Desktop/Flutter/offershow/lib/page/new/right_row_btn.dart", "Dart", -69, 0, 0, 0, 0, -69
"/Users/xusun/Desktop/Flutter/offershow/lib/page/new/rule_page.dart", "Dart", 62, 0, 0, 1, 4, 67
"/Users/xusun/Desktop/Flutter/offershow/lib/page/new/rules.dart", "Dart", 30, 0, 0, 0, 1, 31
"/Users/xusun/Desktop/Flutter/offershow/lib/page/new_reply/homeNewReply.dart", "Dart", -1, 0, 0, 1, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/new_transaction/draft.dart", "Dart", 60, 0, 0, 0, 7, 67
"/Users/xusun/Desktop/Flutter/offershow/lib/page/new_transaction/left_row_btn.dart", "Dart", 239, 0, 0, 3, 6, 248
"/Users/xusun/Desktop/Flutter/offershow/lib/page/new_transaction/new_transaction.dart", "Dart", 662, 0, 0, 3, 27, 692
"/Users/xusun/Desktop/Flutter/offershow/lib/page/new_transaction/right_row_btn.dart", "Dart", 66, 0, 0, 1, 4, 71
"/Users/xusun/Desktop/Flutter/offershow/lib/page/new_transaction/select_tag.dart", "Dart", 152, 0, 0, 0, 12, 164
"/Users/xusun/Desktop/Flutter/offershow/lib/page/new_transaction/success_display.dart", "Dart", 90, 0, 0, 0, 4, 94
"/Users/xusun/Desktop/Flutter/offershow/lib/page/new_transaction/vote_machine.dart", "Dart", 153, 0, 0, 0, 4, 157
"/Users/xusun/Desktop/Flutter/offershow/lib/page/person_detail/personDetail.dart", "Dart", 4, 0, 0, 1, 0, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/page/personal/personal.dart", "Dart", -3, 0, 0, -37, 1, -39
"/Users/xusun/Desktop/Flutter/offershow/lib/page/photo_view/photo_view.dart", "Dart", 4, 0, 0, 1, 1, 6
"/Users/xusun/Desktop/Flutter/offershow/lib/page/question/answer.dart", "Dart", 1, 0, 0, 0, 0, 1
"/Users/xusun/Desktop/Flutter/offershow/lib/page/question/question.dart", "Dart", 86, 0, 0, 1, 1, 88
"/Users/xusun/Desktop/Flutter/offershow/lib/page/scan_qrcode/scan_qrcode.dart", "Dart", 32, 0, 0, 13, 2, 47
"/Users/xusun/Desktop/Flutter/offershow/lib/page/search/search.dart", "Dart", 30, 0, 0, 8, 3, 41
"/Users/xusun/Desktop/Flutter/offershow/lib/page/setting/setting.dart", "Dart", 28, 0, 0, -17, 0, 11
"/Users/xusun/Desktop/Flutter/offershow/lib/page/square/square.dart", "Dart", 4, 0, 0, 1, 0, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/page/square/squareHome.dart", "Dart", -1, 0, 0, 1, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/start/start.dart", "Dart", 8, 0, 0, 1, 1, 10
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/At_someone.dart", "Dart", -1, 0, 0, 1, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/Your_emoji.dart", "Dart", -1, 0, 0, 1, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/detail_cont.dart", "Dart", 3, 0, 0, 0, 0, 3
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_RichInput.dart", "Dart", 21, 0, 0, 14, 0, 35
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_comment.dart", "Dart", -10, 0, 0, 0, -1, -11
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_comment_tab.dart", "Dart", -3, 0, 0, 3, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_detail.dart", "Dart", 35, 0, 0, 15, 2, 52
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_detailBottom.dart", "Dart", 3, 0, 0, 0, 0, 3
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_detail_time.dart", "Dart", 4, 0, 0, 0, 0, 4
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_edit.dart", "Dart", -2, 0, 0, 1, 0, -1
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_more.dart", "Dart", -27, 0, 0, 0, 0, -27
"/Users/xusun/Desktop/Flutter/offershow/lib/page/user_list/user_list.dart", "Dart", 4, 0, 0, 1, 0, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/page/waterTask/task_list.dart", "Dart", -1, 0, 0, 1, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/waterTask/water_inout_detail.dart", "Dart", -1, 0, 0, 1, 0, 0
"/Users/xusun/Desktop/Flutter/offershow/lib/page/waterTask/water_task.dart", "Dart", 16, 0, 0, 5, 0, 21
"/Users/xusun/Desktop/Flutter/offershow/lib/page/water_total/water_total.dart", "Dart", 5, 0, 0, 0, 0, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/router/router.dart", "Dart", 4, 0, 0, 0, 0, 4
"/Users/xusun/Desktop/Flutter/offershow/lib/util/interface.dart", "Dart", 2, 0, 0, 0, 0, 2
"/Users/xusun/Desktop/Flutter/offershow/lib/util/provider.dart", "Dart", 11, 0, 0, 0, 3, 14
"Total", "-", 2354, 10, 3, 70, 123, 2560